REPRESENTANTE,LOJA,ESTADO,CIDADE,ENDERECO,CEP,CELULAR,Latitude,Longitude
PLANET RACING,PLANET RACING,CE,FORTALEZA,"RUA SEBASTIÃO DE ABREU, 200 MARAPONGA",60710-830,85985746416,-37.951.043,-385.674.304
ANTÔNIO DOMINGOS VEÍCULOS,ANTÔNIO DOMINGOS VEÍCULOS,RN,MOSSORÓ,"Rua José Damião, 2 - Santo Antônio",59611-140,84999373300,-51.762.811,-373.455.061
GUAÍBA,GUAÍBA,RS,GUAÍBA,"R. Natal - Santa Rita, Guaíba - RS",92708-070,51982242323,-300.938.579,-513.277.769
LOJA SANTANA,LOJA SANTANA,MG,CONCEIÇÃO DAS ALAGOAS,"Avenida Brasil, 901",38120-000,3433210327,-199.183.959,-483.686.991
PEDAL EXTREME,PEDAL EXTREME,MG,FORMIGA,"Rua General Carneiro, 43",35570-000,37998151878,-204.618.847,-454.338.495
MINAS MOVEIS,MINAS MOVEIS,MG,ITAPAGIPE,"Rua 12, 351",38240-000,34991463833,-198.370.603,-496.377.256
CASALOTI MOTORS LTDA,CASALOTI MOTORS LTDA,MG,OURO FINO,Rua Jose Gilberto Martins,37570-000,35999038669,-22.287.519,-463.770.885
BICICLETARIA PEDAL DE OURO,BICICLETARIA PEDAL DE OURO,MG,PRATA,"Praça JK, 373",38140-000,34996767278,-193.036.646,-489.215.787
MOVI MOBILIDADE URBANA,MOVI MOBILIDADE URBANA,MG,SANTANA DO PARAÍSO,"Rua Eucalipto, 1496",35179-000,31985975687,-194.405.639,-42.529.097
BICICLETALIZE,BICICLETALIZE,MG,TUPACIGUARA,"Rua Bueno Brandão, 48",38480-000,34992701009,-186.123.961,-486.807.914
AMARAL BIKE,AMARAL BIKE,MG,UBERABA,"Rua Djalma castro Alves, 873",38073-000,34999313024,-1.974.833,-4.793.194
BP BIKES LTDA,BP BIKES LTDA,MS,BATAGUASSU,"Maracaju, 582",79780-000,67999964975,-217.135.013,-52.420.532
MARK'S VEÍCULOS,MARK'S VEÍCULOS,SP,BARRETOS,"Av. 43, 1080",14780-536,17981233263,-205.531.437,-485.697.509
ATIVO SPORTS,ATIVO SPORTS,SP,FRANCA,"Avenida Dr Ismael Alonso y Alonso, 739",14403-430,16999774274,-205.363.291,-473.807.239
BICICLETARIA SPORTS BIKE,BICICLETARIA SPORTS BIKE,SP,GUAIRA,"Rua 16, 709",14790-000,1733322461,-203.213.445,-483.141.751
MARCELO NOGUEIRA MARQUES,MARCELO NOGUEIRA MARQUES,SP,JALES,"Av João Amadeu, 2911",15700-000,17996475497,-202.700.625,-505.508.507
BICICLETARIA IDEAL,BICICLETARIA IDEAL,SP,PEREIRA BARRETO,"Av Gregório Sulian, 2491",15371-176,18991466789,-206.415.784,-511.047.602
LEO CAVOLI JUNIOR,LEO CAVOLI JUNIOR,SP,PITANGUEIRAS,"Rua Dr. Euclides Zanini Caldas, 894",14750-000,1639526600,-210.093.562,-482.137.856
BIKE MOTOR,BIKE MOTOR,SP,SÃO JOSÉ DO RIO PRETO,"Deodato de Oliveira, 793",15045-334,17992411745,-207.793.875,-493.923.543
EMOBILIZA ELETRON MULTIMARCAS,EMOBILIZA ELETRON MULTIMARCAS,SP,Votuporanga,"Rua Pernanbuco 3245, patrimônio novo",15500-006,17996643860,-2.042.278,-4.997.278
LAGOA VERMELHA,LAGOA VERMELHA,RS,LAGOA VERMELHA,Av. Benjamin Constant - Lagoa Vermelha,95300-000,51982242323,-282.132.184,-515.192.931
PETER,PETER,RS,Arroio do sal,,95585-000,554896894570,-295.188.558,-498.715.427
PETER,PETER,RS,Morrinhos do Sul,,95577-000,554896894570,-29.334.787,-49.972.016
PETER,PETER,RS,São João do Sul,,95748-000,554896894570,-28.621.737,-536.252.806
PETER,PETER,RS,Terra de areia ,,95535-000,554896894570,-295.745.837,-500.613.145
PETER,PETER,RS,Torres,,95560-000,554896894570,-293.296.501,-497.480.077
PETER,PETER,SC,Araranguá,,88900-000,554896894570,-289.308.651,-494.819.108
PETER,PETER,SC,Balneário gaivota,,88955-000,554896894570,-291.570.053,-49.599.952
PETER,PETER,SC,Balneário Rincao,,88820-000,554896894570,-288.677.857,-492.813.728
PETER,PETER,SC,Cambará do Sul,,95480-000,554896894570,-230.291.908,-500.676.371
PETER,PETER,SC,Cocal do Sul,,88845-000,554896894570,-285.973.548,-493.257.052
PETER,PETER,SC,Criciúma,,88801-000,554896894570,-286.799.419,-493.757.456
PETER,PETER,SC,Forquilhinha,,88850-000,554896894570,-287.507.304,-494.719.396
PETER,PETER,SC,Jacinto Machado,,88950-000,554896894570,-289.965.564,-497.570.391
PETER,PETER,SC,Meleiro,,88920-000,554896894570,-288.444.028,-496.339.066
PETER,PETER,SC,Passo de Torres,,88980-000,554896894570,-29.315.433,-497.208.352
PETER,PETER,SC,Praia Grande,,88990-000,554896894570,-291.976.007,-499.558.715
PETER,PETER,SC,Santa Rosa do Sul,,88965-000,554896894570,-291.415.666,-497.134.109
PETER,PETER,SC,Sombrio,,88960-000,554896894570,-291.099.913,-496.416.286
PETER,PETER,SC,Timbe do Sul,,88940-000,554896894570,-288.322.199,-498.433.213
PETER,PETER,SC,Turvo,,88930-000,554896894570,-289.239.601,-496.785.161
JR BIKE,JR BIKE,RJ,CABO FRIO,Av.independência N.03,28900-001,22974060567,-226.246.981,-420.013.864
CALIL SPORT BIKE,CALIL SPORT BIKE,RJ,CAMPOS DOS GOYTACAZES,avenida 28 de março 476,28020-740,22999597275,-217.648.684,-413.299.052
BIKE CENTER,BIKE CENTER,RJ,CAMPOS DOS GOYTACAZES,rua Lacerda sobrinho 91/95,28010-076,22992271815,-217.629.748,-413.255.604
RAFAEL BIKE ELÉTRICA,RAFAEL BIKE ELÉTRICA,RJ,RIO DAS OSTRAS,Rua Henrique Sarzedas 71 loja 1,28893-812,22998725630,-2.252.694,-41.945
Mundo da bike elétrica,Mundo da bike elétrica,RJ,CABO FRIO,avenida Joaquim Nogueira 986 loja 1,28909-490,22999587982,-2.288.717,-4.202.622
Mundo da bike elétrica,Mundo da bike elétrica,ES,VILA VELHA,Avenida Getúlio Vargas 412 Glória,29122-030,22997449609,-203.383.161,-403.055.077
DUACT SP LITORAL,DUACT SP LITORAL,SP,UBATUBA,Rua Capitao Felipe 391,11688-602,119803237728,-234.607.664,-450.626.246
Duact Alphaville,Duact Alphaville,SP,ALPHAVILLE,Alameda Amazonas 686,06454-070,119756907077,-234.934.015,-46.843.026
Circuit Store,Circuit Store,GO,Goiania,"Avenida Bela Vista, Quadra 01, Lt 21, salas 01 e 02, Jardim Bela Vista",74863-050,6292421447,-1.667.861,-4.925.389
Clinmob,Clinmob,PR,Maripa,,85955-000,45998151393,-245.632.876,-540.591.666
Veloster,Veloster,PR,Toledo,,85904-270,44998138866,-247.201.909,-537.448.991
Clinmob,Clinmob,PR,Palotina,,85950-009,45998151393,-242.837.262,-538.292.031
Veloster,Veloster,PR,Palotina,,85950-035,44998138866,-242.837.262,-538.292.031
